student_id,career_id,group,relevance,similarity,stream_match,domain_match,apt_quant,apt_logical,apt_verbal,apt_creative,apt_technical,apt_commerce,marks_10th,marks_12th,avg_aptitude,tech_score,business_score,creative_score
S001,C001,S001,3,0.5,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C002,S001,2,0.25,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C003,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C004,S001,2,0.25,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C005,S001,2,0.0,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C006,S001,2,0.0,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C007,S001,2,0.0,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C008,S001,2,0.25,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C009,S001,2,0.25,1,1,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C010,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C011,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C012,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C013,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C014,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C015,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C016,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C017,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C018,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C019,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C020,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C021,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C022,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C023,S001,1,0.0,0,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C024,S001,1,0.0,0,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C025,S001,1,0.0,0,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C026,S001,1,0.0,0,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
S001,C027,S001,1,0.0,1,0,95,94,80,60,96,50,92,90.0,79.16666666666667,95.2,67.8,68.0
